,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
2381,S10674,1978-018A,ISS-b,1978 Feb 16,1980?,1983?,1983?,,NASDA Sci,,,,C,SCI,J,A/AC.105/INF.371,107.0,977,1222,69.4,U,,ION*,Ionospheric sounder
2382,S10676,1978-019A,Cosmos-990,1978 Feb 17,1980?,1980?,1980?,,Strela-2M,,,,D,COM,SU,ST/SG/SER.E/008,101.0,783,824,74.0,U,,,
2383,S10680,1978-015F,KBE,1978 Feb  8,1978 Feb 20,1978 Feb 20,1978 Feb 20 0651?,,Cap B,,,,D,TECH,[SU],,,,,,U,,,
2384,S10682,1977-111D,Kosmos-965 SS 2,1977 Dec  8,1978 Feb 20,1978 Feb 20,1978 Feb 20,,ESO,,,,D,CAL,,,,,,,U,,,
2385,S10683,1977-111E,Kosmos-965 SS 3,1977 Dec  8,1978 Feb 20,1978 Feb 20,1978 Feb 20,,ESO,,,,D,CAL,,,,,,,U,,,
2386,S10684,1978-020A,,1978 Feb 22,1985 Jul 17,1985 Jul 17,1985 Jul 17,,GPS I,,,,D,NAV,US,ST/SG/SER.E/007,718.0,20183,20183,63.0,U,,,
2387,S10688,1978-021A,,1978 Feb 25,1980?,1985?,1985?,,Jumpseat,,,,D,SIG,US,ST/SG/SER.E/007,702.8,311,39377,63.2,U,,,
2388,S10692,1978-022A,Cosmos-991,1978 Feb 28,1980?,1980?,1980?,,Parus,,,,D,NAV,SU,ST/SG/SER.E/008,104.8,972,1022,83.0,U,,,
2389,S10694,1978-023A,Soyuz-28,1978 Mar  2,1978 Mar 10,1978 Mar 10,1978 Mar 10 1344,,7K-T,,,M,C,SS,SU,ST/SG/SER.E/009,90.0,269,309,51.6,U,,BIO,Life sci
2390,S10696,1978-024A,Molniya-1,1978 Mar  2,1979 Nov?,1979 Nov?,1979 Nov?,,Molniya-1K,,,M,D,COM,SU,ST/SG/SER.E/009,738.0,632,40733,62.8,U,,,
