,Cite,Reference
2399,UMSphere,"AFCRL71-0571, Analysis of Mylar Falling Spheres, F.Fishbach et al, 1971 (U. Michigan)."
2400,OTRAGBrochure,"OTRAG brochure, ca. 1977  (courtesy of Ulrich Brocks)."
2401,EngSci1.58,"F. Zwicky, Engineering and Science, Jan 1958."
2402,AusPL,"Australian parliamentary documents, http://parlinfo.aph.gov.au"
2403,JARE14,"Report of the Wintering Party of the 14th Japanese Antarctic Research Expedition - Antarctic Record 53, 106"
2404,"MNIPR9,87","Memoirs of NIPR, Special Issue 9, 87."
2405,Blamont,"Les Debuts de la Recherche Spatiale Francaise, J. Blamont."
2406,DeLeon,"Historia de la actividad espacial en la Argentina, Pablo de Leon"
2407,RRSR2015,"NASA Wallops, Research Range Services annual report, 2015"
2408,EuropaBlog,"http://aventure-des-fusees-europa.blog4ever.net/, 2017"
2409,Rao2015,"Rao, P.V. Manoranjan, From Fishing Hamlet to Red Planet, ISRO 2015."
2410,X17FR,"Roy R.W and Foster R.A., X-17 Final Report, AFMTC, 10 May 1957"
2411,SAC.ECHO.HILL,"ECHO HILL, SAC Exercise Report, 1965."
2412,DKS,"Minuteman document archive, via David K. Stumpf."
2413,An2015,"An, H.J., 2015, GaTech PHD thesis: National Aspirations, Imagined Futures, and Space Exploration: the Origin and Develop"
2414,VScrolls,"LMSC-B254093, Vandenberg Agena listing (nicknamed 'The Dead Sea Scrolls'), 16 Mar 1970."
2415,SDSC-SR,"List of Sounding Rocket Launches from Sriharikota, http:www.shar.gov.in"
2416,BHRI,"Brief History of Rocketry in India, PV Manoranjan Rao, P Radhakrishnan."
2417,NPL88-89,"NPL Annual Report 1988-89  (National Physical Lab, Delhi)"
2418,KubarevMPD,"Kubarev, Yu., 2012. Design of megawatt-class electroreactive engines for interplanetary flights. http://www.expertclub.r"
2419,PPK10,"Pilotiruemie Poleti v Kosmos, Vol 1, No. 10, ed.  S. Krikalev, 2014."
2420,Rummler.pc,"T. Rummler, Sandia Labs, personal communication."
2421,Sandlas,"Sandlas, V.P., Insider's Account of ISRO, Harper Collins 2018."
2422,NordAvJT,"Paikine, R. (Nord Aviation), 1966 Nov 21 memo to Jacques Tiziou."
2423,Ludwig,"Ludwig, G., Opening Space Research. GeoPress, 2011."
2424,Apal'kov et al 2006,"Apal'kov, Yu.V., Mant D.I, Mant S.D, Otechestvennie Ballisticheskie Raketi Morskovo Basirovaniya i ikh Nositeli (Galeya"
2425,Gilbert64,"Gilbert, F.C., Operation Crosscheck, UCRL-ID-124774,  LLNL Nov 6, 1964."
2426,OSCTargList,"Data file on target launches, Orbital Sciences, Jun 2011."
2427,AAS07-091,"O'Donnell Jr, J., et al 2007, Space Technology 5 Launch and Operations, 30th AAS Guidance and Control Conf."
2428,1STRAD,1STRAD History
2429,38north.com,38north.com
2430,9fly.com,9fly.com
2431,AASH26-74,"AAS History Series, v26, p-74"
2432,AASH32-377,"AAS History Series, v32, p-377"
2433,AASH32-379,"AAS History Series, v32, p-379"
2434,AASH33-143,"AAS History Series, v33, p-143"
2435,AD-842577,AD-842577
2436,AD-A-005589,AD-A-005589
2437,AD0363166,AD0363166
2438,AD273758,AD273758
2439,AD7833848,AD7833848
2440,AD839949,AD839949
2441,AD841975,AD841975
2442,AD842102,AD842102
2443,AD843132,AD843132
2444,ADA051077,ADA051077
2445,ADCMemo,ADCMemo
2446,AE960809,AE960809
2447,AFCRL-67-0659,AFCRL-67-0659
2448,AFCRL-72-0005,AFCRL-72-0005
2449,AFCRL-TR-76-0057,AFCRL-TR-76-0057
2450,AFCRL67,AFCRL67
2451,AFCRL72-0472,AFCRL72-0472
2452,AFFDL-TR-67-25,AFFDL-TR-67-25
2453,AFGL-TR-87-0139,AFGL-TR-87-0139
2454,AFP,Agence France-Presse
2455,AFRL_VS-TR-2001-1099,AFRL_VS-TR-2001-1099
2456,AGU2001,AGU2001
2457,AIAA-SR4,AIAA 4th Sounding Rocket Conference
2458,AIAA2012-1088,AIAA2012-1088
2459,"AJP27,401","AJP27,401"
2460,AK12,AK12
2461,"AK15,corrected","AK15,corrected"
2462,AUS-PR71,AUS-PR71
2463,AWST041206-22,"Aviation Week, 20041206-22"
2464,AWST110613-25,"Aviation Week, 20110613-25"
2465,AWST160620-34,"Aviation Week, 20160620-34"
2466,AWST200518-37,"Aviation Week, 20200518-37"
2467,AWST670227-40,"Aviation Week, 19670227-40"
2468,AWST690127-16,"Aviation Week, 19690127-16"
2469,AWST711206-23,"Aviation Week, 19711206-23"
2470,AWST801215-19,"Aviation Week, 19801215-19"
2471,"AdvSpR38,2388","AdvSpR38,2388"
2472,AeAe1961,AeAe1961
2473,AeronRept101,AeronRept101
2474,AeronRpt78,AeronRpt78
2475,AeronRpt80,AeronRpt80
2476,AeronRpt83-1,AeronRpt83-1
2477,Ak15,Ak15
2478,AlbqTrib001016,AlbqTrib001016
2479,AlbqTrib971117,AlbqTrib971117
2480,AlbuquerqueJ680501,AlbuquerqueJ680501
2481,Anik,"A. Krasilnikov, private comm."
2482,"AnnGeo2,487","AnnGeo2,487"
2483,"AnnGeo20,342","AnnGeo20,342"
2484,"AnnGeo20,367","AnnGeo20,367"
2485,"ApJ167,L33","ApJ167,L33"
2486,"ApJ174,529","ApJ174,529"
2487,"ApJ177,219","ApJ177,219"
2488,"ApJ180,L55","ApJ180,L55"
2489,"ApJ183,L63","ApJ183,L63"
2490,"ApJ202,L9","ApJ202,L9"
2491,"ApJ208,718","ApJ208,718"
2492,"ApJ222,L13","ApJ222,L13"
2493,"ApJ266,L65","ApJ266,L65"
2494,"ApJ680,328","ApJ680,328"
2495,"ApSpSci92,317","ApSpSci92,317"
2496,AsianAlmanac14,AsianAlmanac14
2497,AtlasD,AtlasD
2498,"BAAS13,912","BAAS13,912"
2499,BKF67-035,BKF67-035
2500,BMDO,BMDO
2501,BMLX,BMLX
2502,BRL-1187,BRL-1187
2503,BRL-1825,BRL-1825
2504,BYE15929-71,BYE15929-71
2505,Bakersfield,Bakersfield
2506,BatteryBDoc,BatteryBDoc
2507,Bell-NH,Bell-NH
2508,BillingsGaz570919,BillingsGaz570919
2509,Brugge,Brugge
2510,BythevilleCN,BythevilleCN
2511,CNES-PR,CNES-PR
2512,CNESPR,CNESPR
2513,COSPAR95,COSPAR95
2514,CR-130123,CR-130123
2515,CR-2968,CR-2968
2516,CR-86314,CR-86314
2517,CR147194,CR147194
2518,ChiTrib630830,ChiTrib630830
2519,ChronBMD,ChronBMD
2520,Cleary06,Cleary06
2521,Cleary09,Cleary09
2522,ClovisNewsJ,ClovisNewsJ
2523,"Combat,590311","Combat,590311"
2524,CommandAndControl,CommandAndControl
2525,CorporalHist,CorporalHist
2526,CteeSA1959,CteeSA1959
2527,CumberlandET580418,CumberlandET580418
2528,"CurrSci99,1,10","CurrSci99,1,10"
2529,DKS-Boeing,DKS-Boeing
2530,DNA-6006F,DNA-6006F
2531,DailyInd580117,DailyInd580117
2532,DailyNewsLA930715,DailyNewsLA930715
2533,DaysOfChallenge,DaysOfChallenge
2534,"Delo,Z10","Delo,Z10"
2535,DenverPost,DenverPost
2536,DeseretNews,DeseretNews
2537,DeseretNews841114,DeseretNews841114
2538,DoSAnnRpt97-43,DoSAnnRpt97-43
2539,EA-0492,EA-0492
2540,ESA-PAC92-AnnexI,ESA-PAC92-AnnexI
2541,ESR,ESR
2542,"EarthPlanSp50,745","EarthPlanSp50,745"
2543,ElPasoHerPost611026,ElPasoHerPost611026
2544,ElPasoHerPost620717,ElPasoHerPost620717
2545,ElPasoHerPost620808,ElPasoHerPost620808
2546,ElPasoHeraldP680306,ElPasoHeraldP680306
2547,Elias,Elias
2548,FB,FB
2549,FDC,FDC
2550,FER-AS504,FER-AS504
2551,FER-AS505,FER-AS505
2552,FI601104-717,FI601104-717
2553,FI630801-177,FI630801-177
2554,FI700716-98,FI700716-98
2555,FI810808,FI810808
2556,FNER,FNER
2557,FR,FR
2558,FT3,FT3
2559,FarmingtonDailyT,FarmingtonDailyT
2560,GAMHEX-G2,GAMHEX-G2
2561,"GRL3,339","GRL3,339"
2562,HEXSTORY,HEXSTORY
2563,Hindu131121,Hindu131121
2564,ICRC9,ICRC9
2565,"IEEE.TrNSci38,1622","IEEE.TrNSci38,1622"
2566,IGY,IGY
2567,IISS-IR,IISS-IR
2568,IMS78-4,IMS78-4
2569,IQSYInterim1,IQSYInterim1
2570,ISAS-Doc312,ISAS-Doc312
2571,ISAS-Doc316,ISAS-Doc316
2572,ISAS-Doc320,ISAS-Doc320
2573,ISAS-Doc379,ISAS-Doc379
2574,ISAS-Doc456,ISAS-Doc456
2575,ISAS-Doc464,ISAS-Doc464
2576,ISAS-SES-K578,ISAS-SES-K578
2577,ISASBull,ISASBull
2578,ISASDoc312,ISASDoc312
2579,ISASNews2007.1,ISASNews2007.1
2580,IndianAv41.9,IndianAv41.9
2581,"JASTP73,2444","JASTP73,2444"
2582,"JASTP75,98","JASTP75,98"
2583,"JATP49,485","JATP49,485"
2584,"JBIS24,27","JBIS24,27"
2585,"JBIS24,393","JBIS24,393"
2586,"JBIS25,61","JBIS25,61"
2587,"JBIS28,245","JBIS28,245"
2588,"JBIS35,271","JBIS35,271"
2589,"JBIS38,39","JBIS38,39"
2590,JDW121219,JDW121219
2591,JGG31-435,JGG31-435
2592,"JGG32,551","JGG32,551"
2593,"JGG40,763","JGG40,763"
2594,"JGG49,1257","JGG49,1257"
2595,"JGR101,D2,4033","JGR101,D2,4033"
2596,"JGR112,A06312","JGR112,A06312"
2597,"JGR115,A11308","JGR115,A11308"
2598,"JGR69,1367","JGR69,1367"
2599,"JGR69,3755","JGR69,3755"
2600,"JGR75,859","JGR75,859"
2601,"JGR79,1299","JGR79,1299"
2602,"JGR82,1876","JGR82,1876"
2603,"JGR82,2613","JGR82,2613"
2604,JGR82.1876,JGR82.1876
2605,"JGR83,A9,4377","JGR83,A9,4377"
2606,"JGR85,A10,5113","JGR85,A10,5113"
2607,"JGR86,A7,5601","JGR86,A7,5601"
2608,JGR87.7228,JGR87.7228
2609,"JGR88,1468","JGR88,1468"
2610,JGeomagG28-343,JGeomagG28-343
2611,JPost130110,JPost130110
2612,Jane's,Jane's
2613,JaneIntellRev,JaneIntellRev
2614,KCNA,KCNA
2615,"KI13,517","KI13,517"
2616,"KI13,940","KI13,940"
2617,"KI16,310","KI16,310"
2618,"KI16,394","KI16,394"
2619,"KI16,626","KI16,626"
2620,"KI18,290","KI18,290"
2621,"KI19,314","KI19,314"
2622,"KI19,576","KI19,576"
2623,"KI19,641","KI19,641"
2624,"KI20,776","KI20,776"
2625,"KI22,406","KI22,406"
2626,"KI24,794","KI24,794"
2627,"KI26,475","KI26,475"
2628,"KI29,722","KI29,722"
2629,KY60,KY60
2630,"KellyKorreck,pc","KellyKorreck,pc"
2631,LA-4947,LA-4947
2632,LATimes,LATimes
2633,LBPress-Tel,LBPress-Tel
2634,LMSD-2595,LMSD-2595
2635,LR740301,LR740301
2636,LRPGD-TR1  t,LRPGD-TR1  t
2637,LRRC.pdf,LRRC.pdf
2638,LasCrucesSunNews,LasCrucesSunNews
2639,LawtonConst590119,LawtonConst590119
2640,LawtonConst590216,LawtonConst590216
2641,LompocR,LompocR
2642,LompocRec,LompocRec
2643,LompocRecord,LompocRecord
2644,LompocRecord700805,LompocRecord700805
2645,M3S2-6-Brochure,M3S2-6-Brochure
2646,MDABudget04,MDABudget04
2647,MK1101-20,MK1101-20
2648,"MNIPR18,275","MNIPR18,275"
2649,"MNIPR18,453","MNIPR18,453"
2650,"MNIPR22,185","MNIPR22,185"
2651,"MNIPR22,196","MNIPR22,196"
2652,MSD-0203,MSD-0203
2653,MU4S-304,MU4S-304
2654,Mendenhall-PhD,Mendenhall-PhD
2655,MilwaukeeJ571210,MilwaukeeJ571210
2656,MilwaukeeSen570831,MilwaukeeSen570831
2657,Misc,Misc
2658,MissileRanger,MissileRanger
2659,MissileRanger690418,MissileRanger690418
2660,MissileRanger720519,MissileRanger720519
2661,MissileRanger720616,MissileRanger720616
2662,MissileRanger730622,MissileRanger730622
2663,MissileRanger731012,MissileRanger731012
2664,MissileRanger741129,MissileRanger741129
2665,MissileRanger760507,MissileRanger760507
2666,MissileRanger770520,MissileRanger770520
2667,MissileRanger770603,MissileRanger770603
2668,MissileRanger791116,MissileRanger791116
2669,MissileRanger791207,MissileRanger791207
2670,MissileRanger880520,MissileRanger880520
2671,"Moses,pc","Moses,pc"
2672,NAVWEPS-8738,NAVWEPS-8738
2673,NH-Bell,NH-Bell
2674,NK0205-40,NK0205-40
2675,NK1005-15,NK1005-15
2676,NK1005-21,NK1005-21
2677,NK1006-1,NK1006-1
2678,NK1006-21,NK1006-21
2679,NK1006-45,NK1006-45
2680,NK1006-51,NK1006-51
2681,NK1006-53,NK1006-53
2682,NK1008-16,NK1008-16
2683,NK1008-22,NK1008-22
2684,NK1008-32,NK1008-32
2685,NK1008-36,NK1008-36
2686,NK1011-06,NK1011-06
2687,NK1011-18,NK1011-18
2688,NK1011-25,NK1011-25
2689,NK1011-37,NK1011-37
2690,NK1012-01,NK1012-01
2691,NK1012-28,NK1012-28
2692,NK1012-30,NK1012-30
2693,NK1101-26,NK1101-26
2694,NK1102-12,NK1102-12
2695,NK1103-14,NK1103-14
2696,NK1103-26,NK1103-26
2697,NK1103-37,NK1103-37
2698,NK1104-26,NK1104-26
2699,NK1104-31,NK1104-31
2700,NK1106-20,NK1106-20
2701,NK1106-33,NK1106-33
2702,NK1107-28,NK1107-28
2703,NK1107-35,NK1107-35
2704,NK1108-19,NK1108-19
2705,NK1108-28,NK1108-28
2706,NK1108-47,NK1108-47
2707,NK1109-29,NK1109-29
2708,NK1109-34,NK1109-34
2709,NK1109-39,NK1109-39
2710,NK1110-09,NK1110-09
2711,NK1111-34,NK1111-34
2712,NK1111-39,NK1111-39
2713,NK1112-08,NK1112-08
2714,NK1202-02,NK1202-02
2715,NK1202-21,NK1202-21
2716,NK1205-24,NK1205-24
2717,NK1208-28,NK1208-28
2718,NK1211-28,NK1211-28
2719,NK1301-26,NK1301-26
2720,NK1304-23,NK1304-23
2721,NK1308-34,NK1308-34
2722,NK1310-31,NK1310-31
2723,NK1310-39,NK1310-39
2724,NK1402-55,NK1402-55
2725,NK1407-39,NK1407-39
2726,NK1502-34,NK1502-34
2727,NK1507-69,NK1507-69
2728,NK1508-22,NK1508-22
2729,NK1508-33,NK1508-33
2730,NK9322-23,NK9322-23
2731,NK9516-48,NK9516-48
2732,NOAA-Hussey79,NOAA-Hussey79
2733,NOTS4,NOTS4
2734,NPL89-90,NPL89-90
2735,NRL4276,NRL4276
2736,NROC-HIST,NROC-HIST
2737,NSMU,NSMU
2738,NSP-ACV83-12,NSP-ACV83-12
2739,NYT121212,NYT121212
2740,NYT130222,NYT130222
2741,NYT660320,NYT660320
2742,NYT700610,NYT700610
2743,NYT821120,NYT821120
2744,"Nature296,133","Nature296,133"
2745,NavalAvNewsOct63,NavalAvNewsOct63
2746,Nike-AjaxHist,Nike-AjaxHist
2747,NikeAjaxHist,NikeAjaxHist
2748,OARReview5,OARReview5
2749,OSC-PR,OSC-PR
2750,OSC960730,OSC960730
2751,OcalaStar571022,OcalaStar571022
2752,OgdenStEx631129,OgdenStEx631129
2753,OgdenStdExam,OgdenStdExam
2754,OrlandoSen860625,OrlandoSen860625
2755,OrlandoSen870325,OrlandoSen870325
2756,OrlandoSen950120,OrlandoSen950120
2757,OrlandoSentinel,OrlandoSentinel
2758,OxnardPC570910,OxnardPC570910
2759,"PASP59,32","PASP59,32"
2760,PER1112,PER1112
2761,PER1114,PER1114
2762,PER1115,PER1115
2763,PER4018,PER4018
2764,PET4022,PET4022
2765,PFlat,PFlat
2766,PL-TR-95-2110,PL-TR-95-2110
2767,PMHist67,PMHist67
2768,PMRHiist64,PMRHiist64
2769,PMRHist65,PMRHist65
2770,PMRHist67,PMRHist67
2771,PMRHist68,PMRHist68
2772,PalmBeachPost570627,PalmBeachPost570627
2773,PhilInq,PhilInq
2774,Pittfield,Pittfield
2775,"PlanSpaSci21,1237","PlanSpaSci21,1237"
2776,"PlanSpaSci21,165","PlanSpaSci21,165"
2777,"PlanSpaSci21,239","PlanSpaSci21,239"
2778,"PlanSpaSci21,653","PlanSpaSci21,653"
2779,PolarArcsRept,PolarArcsRept
2780,PostalCover,PostalCover
2781,PravdaSevera141029,PravdaSevera141029
2782,PressCourier621210,PressCourier621210
2783,PressCourier910313,PressCourier910313
2784,"ProcIAS90,173","ProcIAS90,173"
2785,ProjBlueBook,ProjBlueBook
2786,"QJRAS13,403","QJRAS13,403"
2787,RAEX,RAEX
2788,RFX,RFX
2789,RIgg,RIgg
2790,RML  (RPCAJul25],RML  (RPCAJul25]
2791,RML  [RPCAJan27],RML  [RPCAJan27]
2792,RMOL,RMOL
2793,RP-1053,RP-1053
2794,"RadioSci21,141","RadioSci21,141"
2795,Ransom960912,Ransom960912
2796,RedlandsDF,RedlandsDF
2797,Redwing,Redwing
2798,"RevGeo26,519","RevGeo26,519"
2799,Rocketeer621221-7,Rocketeer621221-7
2800,RoswellDailyR871111,RoswellDailyR871111
2801,SACMissileChron,SACMissileChron
2802,SAMOS,SAMOS
2803,SAMSO-K243.012V1,SAMSO-K243.012V1
2804,SAND2000-3070,SAND2000-3070
2805,SAND90-8211,SAND90-8211
2806,SCA7,SCA7
2807,SDSC_SR,SDSC_SR
2808,SFChron851114,SFChron851114
2809,SFLT16-463,SFLT16-463
2810,SFLT18-399,SFLT18-399
2811,SFLT31-150,SFLT31-150
2812,SIPRI,SIPRI
2813,SL6-67,SL6-67
2814,SLA-73-0565,SLA-73-0565
2815,SMT,SMT
2816,SN180727,SN180727
2817,SN181206,SN181206
2818,SN900409,SN900409
2819,SN941112-13,SN941112-13
2820,SP-4023,SP-4023
2821,SP4016,SP4016
2822,SRCON3,SRCON3
2823,SW2001,SW2001
2824,SaltLakeTrib651022,SaltLakeTrib651022
2825,SanJoseMerc,SanJoseMerc
2826,SanJoseMerc890927,SanJoseMerc890927
2827,SandNews590710,SandNews590710
2828,SandNews630329,SandNews630329
2829,SandNews631220,SandNews631220
2830,SandNews640327,SandNews640327
2831,SandNews650312,SandNews650312
2832,SandNews700619,SandNews700619
2833,SandNews8002,SandNews8002
2834,SandNews801031,SandNews801031
2835,SandNews810123,SandNews810123
2836,SandNews830415,SandNews830415
2837,Sandia2010,Sandia2010
2838,Sandia2011,Sandia2011
2839,SandiaASER99,SandiaASER99
2840,SandiaNews570809,SandiaNews570809
2841,SandiaNews7712,SandiaNews7712
2842,SantaAnaReg750808-54,SantaAnaReg750808-54
2843,SantaFeNMxican610921,SantaFeNMxican610921
2844,SantaMariaT960309,SantaMariaT960309
2845,SarasotaHT620413,SarasotaHT620413
2846,SarasotaJnl670117,SarasotaJnl670117
2847,"SciInSp68,4 46","SciInSp68,4 46"
2848,SciIndSpat4,SciIndSpat4
2849,"Siddiqi,pc2010","Siddiqi,pc2010"
2850,SkuaM27Rpt,SkuaM27Rpt
2851,"SoPh15,288","SoPh15,288"
2852,"SoPh27,280","SoPh27,280"
2853,"SoPh8,53","SoPh8,53"
2854,SpacePolicy7.72,SpacePolicy7.72
2855,StPetTimes580625,StPetTimes580625
2856,StPeteTimes690108,StPeteTimes690108
2857,StPeteTimes700509,StPeteTimes700509
2858,StarNews890824,StarNews890824
2859,Stares,Stares
2860,SvenGrahn,SvenGrahn
2861,Swanson96,Swanson96
2862,TM-69365,TM-69365
2863,TM-79712,TM-79712
2864,TM-X-1474,TM-X-1474
2865,TM-X-64758,TM-X-64758
2866,TM-X-65777,TM-X-65777
2867,TM-X-760,TM-X-760
2868,TM-X-907,TM-X-907
2869,TMX70450,TMX70450
2870,TN-D-1694,TN-D-1694
2871,TN-D-3359,TN-D-3359
2872,TN-D-4741,TN-D-4741
2873,TN-D-7692,TN-D-7692
2874,TR-3720295,TR-3720295
2875,TT-F-10315,TT-F-10315
2876,TT-F-17507,TT-F-17507
2877,TT-F-303,TT-F-303
2878,TT-F-303-p422,TT-F-303-p422
2879,TT-F-303-p425,TT-F-303-p425
2880,TX-M-55429,TX-M-55429
2881,Taillade,Taillade
2882,TalInbar,TalInbar
2883,TampaBayTimes,TampaBayTimes
2884,"Tellus17,1","Tellus17,1"
2885,TimesOfIndia920829,TimesOfIndia920829
2886,TiziouCollection,TiziouCollection
2887,TriCityHerald580508,TriCityHerald580508
2888,TucsonCit961009,TucsonCit961009
2889,UN,UN
2890,UN.S,UN.S
2891,UPD,UPD
2892,UQ,UQ
2893,USAFChron,USAFChron
2894,USCOSPAR1971,USCOSPAR1971
2895,USCOSPAR67,USCOSPAR67
2896,USCOSPAR67-81,USCOSPAR67-81
2897,USCOSPAR70,USCOSPAR70
2898,USCOSPAR71,USCOSPAR71
2899,USSOCSPAR71,USSOCSPAR71
2900,Ulrick,Ulrick
2901,Unconfirmed,Unconfirmed
2902,UpperAirSummary,UpperAirSummary
2903,VonBraun58-8,VonBraun58-8
2904,WDCDF,WDCDF
2905,WFF Facebook,WFF Facebook
2906,WIre,WIre
2907,WRE-TN-SAD184,WRE-TN-SAD184
2908,WRE-TN1403,WRE-TN1403
2909,WRE-TN988,WRE-TN988
2910,WRE-TR-1828,WRE-TR-1828
2911,WRE-TR-1921,WRE-TR-1921
2912,WRE-TR1816,WRE-TR1816
2913,WS117L-571,WS117L-571
2914,WSMR-AR,WSMR-AR
2915,WSMR-Archive,WSMR-Archive
2916,WSMR-archive,WSMR-archive
2917,WSRL-0004-TR,WSRL-0004-TR
2918,WSRL-0012-TR,WSRL-0012-TR
2919,WSRM-archive,WSRM-archive
2920,Weltraumfahrt63-4,Weltraumfahrt63-4
2921,WichitaFTImes,WichitaFTImes
2922,Wikileaks,Wikileaks
2923,WindAndSand600422,WindAndSand600422
2924,WindAndSand831209,WindAndSand831209
2925,WindSand600212,WindSand600212
2926,WindSand640807,WindSand640807
2927,Wire(DST?),Wire(DST?)
2928,Wire571220,Wire571220
2929,YT,YT
2930,Youtube,Youtube
2931,abqjournal.com,abqjournal.com
2932,aeb.gov.br,aeb.gov.br
2933,aer.mil.bar,aer.mil.bar
2934,am),am)
2935,amarcexperience.com,amarcexperience.com
2936,andoyaspace.no,andoyaspace.no
2937,armadilloaerospace.,armadilloaerospace.
2938,armscontrolwonk,armscontrolwonk
2939,armscontrolwonk.com,armscontrolwonk.com
2940,army.mil,army.mil
2941,bernd-leitenberger.d,bernd-leitenberger.d
2942,blackanthem.com,blackanthem.com
2943,blog.sgo.fi,blog.sgo.fi
2944,boeing.com,boeing.com
2945,brazilianspace.blog,brazilianspace.blog
2946,chanitz.org,chanitz.org
2947,chapters.nss.org,chapters.nss.org
2948,cla.aer.mil.br,cla.aer.mil.br
2949,cnn.com,cnn.com
2950,coloradospacenews,coloradospacenews
2951,cta.aeb.mil.br,cta.aeb.mil.br
2952,dare.tudelft.nl,dare.tudelft.nl
2953,defensenews.com,defensenews.com
2954,dlr.de,dlr.de
2955,dtic,dtic
2956,eastpendulum.com,eastpendulum.com
2957,economictimes.com,economictimes.com
2958,esa.int,esa.int
2959,fab.mil,fab.mil
2960,fab.mil.br,fab.mil.br
2961,facebook,facebook
2962,fas.org,fas.org
2963,federalspace.ru,federalspace.ru
2964,flightglobal.com,flightglobal.com
2965,freebeacon.com,freebeacon.com
2966,frlr.utn.edu.ar,frlr.utn.edu.ar
2967,garnaev.livejournal,garnaev.livejournal
2968,garni-cosmos.com,garni-cosmos.com
2969,gonets.ru,gonets.ru
2970,honoluluadvertiser,honoluluadvertiser
2971,indiatimes.com,indiatimes.com
2972,israelhayom.com,israelhayom.com
2973,isro.org,isro.org
2974,itan3Review,itan3Review
2975,itar-tass.com,itar-tass.com
2976,kap-yar.ru,kap-yar.ru
2977,kavoshgar.ari.ac.ir,kavoshgar.ari.ac.ir
2978,koreaherald.com,koreaherald.com
2979,kritland.af.mil,kritland.af.mil
2980,lenta.ru,lenta.ru
2981,lib.utah.edu,lib.utah.edu
2982,liuqiankktt.blog.163,liuqiankktt.blog.163
2983,luftwaffe.de,luftwaffe.de
2984,m.tiexue.net,m.tiexue.net
2985,mda-budget,mda-budget
2986,mindef.gov.ar,mindef.gov.ar
2987,mod.go.jp,mod.go.jp
2988,mod.gov.cn,mod.gov.cn
2989,navy.mil,navy.mil
2990,ndtv.com,ndtv.com
2991,newindpress.com,newindpress.com
2992,northcom.mil,northcom.mil
2993,novosti-kosmonavtiki,novosti-kosmonavtiki
2994,obsarm.org,obsarm.org
2995,orbitalatk.com,orbitalatk.com
2996,osd.mil,osd.mil
2997,panoramaespacial,panoramaespacial
2998,parlinfo.aph.gov.au,parlinfo.aph.gov.au
2999,peterhall.de,peterhall.de
3000,raytheon.com,raytheon.com
3001,raytheon.mediaroom,raytheon.mediaroom
3002,redstar.ru,redstar.ru
3003,rocketryforum.com,rocketryforum.com
3004,rscience.gsfc,rscience.gsfc
3005,sabanews.net,sabanews.net
3006,sacj.org,sacj.org
3007,sattrackcam.blogspot,sattrackcam.blogspot
3008,scout.com,scout.com
3009,sea-launch.com,sea-launch.com
3010,spa.gov.sa,spa.gov.sa
3011,space.bas.bg,space.bas.bg
3012,spacedaily.com,spacedaily.com
3013,spacenews.com,spacenews.com
3014,spacequest.com,spacequest.com
3015,spaceref.com,spaceref.com
3016,spacex.com,spacex.com
3017,sscspace.com,sscspace.com
3018,ssp.navy.mil,ssp.navy.mil
3019,taiwandc.org,taiwandc.org
3020,tehnowar.ru,tehnowar.ru
3021,tehowar.ru,tehowar.ru
3022,thalesgroup.com,thalesgroup.com
3023,thediplomat.com,thediplomat.com
3024,twitter,twitter
3025,twitter.com,twitter.com
3026,uscrpl.com,uscrpl.com
3027,usfk.mil,usfk.mil
3028,vedomosti.ru,vedomosti.ru
3029,wikipedia,wikipedia
3030,wmsr-hstory.org,wmsr-hstory.org
3031,wsmr-archive,wsmr-archive
3032,wsmr.army.mil,wsmr.army.mil
3033,wsmr.history.org,wsmr.history.org
3034,wvi.com,wvi.com
3035,www.fab.mil.br,www.fab.mil.br
3036,www.gt.org,www.gt.org
3037,www.jaxa.jp,www.jaxa.jp
3038,www.nasa.gov,www.nasa.gov
3039,www.sscspace.com,www.sscspace.com
3040,www.vcstar.com,www.vcstar.com
3041,yallasouriya,yallasouriya
3042,youtube,youtube
3043,youtube.com,youtube.com
3044,zeenews.com,zeenews.com
3045,zenite.nu,zenite.nu
3046,HDLCSG,Document: Historique des Lancements de 1979 a...
3047,KMRHist79,"Annual Historical Review, Kwajalein Missile Range, 1 Oct 1979-30 Sep 1980"
3048,ChGraRain,"Changing Gravity's Rainbow, Wilkes, van Hahn and Hayes 1991"
3049,HT7.1,Hardtack - Report of the Commander Task Group 7.1
